,location,total_sqft,bath,price,bhk
1098,Bellandur,1490.0,2.0,98.0,2.0
1103,Bellandur,1299.0,2.0,82.0,2.0
1104,Bellandur,900.0,2.0,56.0,2.0
1105,Bellandur,1350.0,2.0,79.0,2.0
1107,Bellandur,1457.0,2.0,85.0,2.0
1109,Bellandur,1050.0,2.0,72.0,2.0
1110,Bellandur,1310.0,2.0,72.0,2.0
1111,Bellandur,1785.0,3.0,118.0,3.0
1112,Bellandur,1051.0,2.0,60.0,2.0
1114,Bellandur,1060.0,2.0,65.0,2.0
1115,Bellandur,1100.0,2.0,62.0,2.0
1116,Bellandur,1685.0,3.0,100.0,3.0
1117,Bellandur,982.0,2.0,55.0,2.0
1122,Bellandur,1281.0,2.0,87.0,2.0
1125,Bellandur,1785.0,3.0,120.0,3.0
1127,Bellandur,1310.0,2.0,85.0,2.0
1128,Bellandur,1465.0,3.0,90.0,3.0
1129,Bellandur,1767.0,3.0,109.0,3.0
1130,Bellandur,3600.0,4.0,245.0,4.0
1131,Bellandur,1150.0,2.0,69.44,2.0
1133,Bellandur,1410.0,3.0,92.0,3.0
1134,Bellandur,1015.0,2.0,60.0,2.0
1136,Bellandur,1685.0,3.0,101.0,3.0
1137,Bellandur,1735.0,3.0,105.0,3.0
1138,Bellandur,1685.0,3.0,115.0,3.0
1142,Bellandur,1717.0,3.0,110.0,3.0
1150,Bellandur,1690.0,2.0,116.0,2.0
1151,Bellandur,950.0,1.0,40.0,1.0
1153,Bellandur,1454.0,2.0,90.0,2.0
1157,Bellandur,1260.0,2.0,83.5,2.0
1158,Bellandur,1535.0,3.0,90.0,3.0
1159,Bellandur,1047.0,2.0,75.0,2.0
1160,Benson Town,3200.0,4.0,350.0,4.0
1161,Benson Town,4460.0,5.0,650.0,5.0
1162,Benson Town,2850.0,4.0,470.0,4.0
1163,Benson Town,1300.0,2.0,120.0,2.0
1164,Benson Town,1567.0,3.0,140.0,3.0
1165,Benson Town,3633.0,6.0,550.0,6.0
1166,Benson Town,1688.12,2.0,270.0,2.0
1167,Benson Town,1805.0,3.0,280.0,3.0
1168,Benson Town,1688.0,2.0,280.0,2.0
1178,Bhoganhalli,1670.0,3.0,99.0,3.0
1183,Bhoganhalli,1700.0,3.0,126.0,3.0
1188,Bhoganhalli,1760.0,3.0,127.0,3.0
1191,Bhoganhalli,1949.0,3.0,129.0,3.0
1192,Bhoganhalli,1760.0,3.0,128.0,3.0
1194,Bhoganhalli,2439.0,4.0,185.0,4.0
1197,Bhoganhalli,1458.0,3.0,78.45,3.0
1203,Bhoganhalli,1205.0,2.0,68.32,2.0
1204,Bhoganhalli,1260.0,2.0,69.9,2.0
1205,Bhoganhalli,2439.0,4.0,170.0,4.0
1206,Bhoganhalli,1707.0,3.0,115.0,3.0
1210,Bhoganhalli,1277.0,2.0,79.89,2.0
1212,Bhoganhalli,1703.0,3.0,120.0,3.0
1213,Billekahalli,1935.0,3.0,110.0,3.0
1214,Billekahalli,1125.0,2.0,62.0,2.0
1217,Billekahalli,1112.0,2.0,62.0,2.0
1218,Billekahalli,2400.0,3.0,150.0,3.0
1219,Billekahalli,2968.0,3.0,225.0,3.0
1220,Billekahalli,950.0,2.0,58.11,2.0
1221,Billekahalli,1360.0,2.0,110.0,2.0
1222,Billekahalli,1125.0,2.0,65.0,2.0
1223,Billekahalli,950.0,2.0,56.0,2.0
1225,Billekahalli,1805.0,3.0,134.0,3.0
1226,Binny Pete,1755.0,3.0,122.0,3.0
1227,Binny Pete,665.0,1.0,50.75,1.0
1228,Binny Pete,2465.0,5.0,234.0,5.0
1229,Binny Pete,660.0,1.0,54.0,1.0
1230,Binny Pete,660.0,1.0,62.0,1.0
1231,Binny Pete,1365.0,2.0,122.0,2.0
1232,Binny Pete,2940.0,6.0,280.0,6.0
1233,Binny Pete,1795.0,3.0,139.0,3.0
1234,Binny Pete,1740.0,3.0,150.0,3.0
1235,Binny Pete,1970.0,3.0,164.0,3.0
1236,Binny Pete,1516.0,3.0,147.0,3.0
1251,Bisuvanahalli,850.0,1.0,32.0,1.0
1258,Bisuvanahalli,700.0,1.0,32.0,1.0
1280,Bommanahalli,3000.0,8.0,140.0,8.0
1281,Bommanahalli,520.0,1.0,19.5,1.0
1282,Bommanahalli,515.0,1.0,25.0,1.0
1290,Bommanahalli,1100.0,1.0,55.0,1.0
1314,Bommasandra,800.0,1.0,32.0,1.0
1345,Bommenahalli,1200.0,3.0,125.0,3.0
1346,Bommenahalli,1632.0,3.0,145.0,3.0
1347,Bommenahalli,1670.0,3.0,135.0,3.0
1348,Bommenahalli,1680.0,3.0,135.0,3.0
1349,Bommenahalli,1632.0,3.0,128.0,3.0
1350,Bommenahalli,3339.0,3.0,250.0,3.0
1351,Bommenahalli,1355.0,3.0,135.0,3.0
1352,Bommenahalli,1232.0,3.0,96.0,3.0
1353,Bommenahalli,1632.0,3.0,140.0,3.0
1354,Brookefield,1150.0,2.0,69.0,2.0
1355,Brookefield,1142.0,2.0,70.0,2.0
1358,Brookefield,1595.0,3.0,88.0,3.0
1359,Brookefield,2800.0,4.0,240.0,4.0
1360,Brookefield,1476.0,3.0,105.0,3.0
1361,Brookefield,1700.0,4.0,152.0,4.0
1362,Brookefield,1262.0,2.0,75.0,2.0
1363,Brookefield,1139.0,2.0,80.0,2.0
1364,Brookefield,1125.0,2.0,70.0,2.0
1365,Brookefield,1420.0,3.0,85.0,3.0
1369,Brookefield,1410.0,2.0,80.0,2.0
1371,Brookefield,2400.0,3.0,140.0,3.0
1373,Brookefield,1950.0,6.0,175.0,6.0
1376,Brookefield,1200.0,2.0,75.0,2.0
1379,Brookefield,1270.0,2.0,95.0,2.0
1380,Brookefield,1706.0,3.0,115.0,3.0
1381,Brookefield,1389.0,2.0,94.0,2.0
1383,Brookefield,1225.0,2.0,72.0,2.0
1385,Brookefield,1746.0,3.0,115.0,3.0
1387,Brookefield,1560.0,3.0,149.0,3.0
1389,Brookefield,1382.0,2.0,84.5,2.0
1390,Brookefield,1260.0,2.0,70.0,2.0
1391,Brookefield,1206.0,2.0,90.0,2.0
1393,Brookefield,1594.0,3.0,140.0,3.0
1404,Budigere,664.0,1.0,35.0,1.0
1415,Budigere,1636.0,3.0,92.0,3.0
1418,Budigere,1149.0,2.0,65.0,2.0
1419,Budigere,664.0,1.0,35.4,1.0
1424,Budigere,664.0,1.0,34.0,1.0
1428,Budigere,1820.0,3.0,99.0,3.0
1436,Budigere,1636.0,3.0,88.0,3.0
1445,CV Raman Nagar,1392.0,2.0,98.0,2.0
1447,CV Raman Nagar,1825.0,3.0,126.0,3.0
1454,CV Raman Nagar,1051.0,2.0,61.0,2.0
1459,CV Raman Nagar,1392.0,2.0,95.0,2.0
1460,CV Raman Nagar,705.0,2.0,50.0,2.0
1462,CV Raman Nagar,1400.0,2.0,78.0,2.0
1463,CV Raman Nagar,1400.0,2.0,78.0,2.0
1467,Chamrajpet,1475.0,2.0,120.0,2.0
1468,Chamrajpet,1900.0,2.0,170.0,2.0
1469,Chamrajpet,1350.0,2.0,180.0,2.0
1470,Chamrajpet,1050.0,2.0,162.0,2.0
1471,Chamrajpet,1660.4,4.0,211.0,4.0
1472,Chamrajpet,505.0,1.0,85.0,1.0
1473,Chamrajpet,1565.0,3.0,98.91,3.0
1474,Chamrajpet,730.0,1.0,52.0,1.0
1475,Chamrajpet,650.0,1.0,40.0,1.0
1476,Chamrajpet,650.0,2.0,45.0,2.0
1477,Chamrajpet,1650.0,3.0,115.0,3.0
1478,Chandapura,650.0,1.0,17.0,1.0
1479,Chandapura,645.0,1.0,16.45,1.0
1480,Chandapura,645.0,1.0,16.45,1.0
1481,Chandapura,800.0,1.0,20.0,1.0
1483,Chandapura,530.0,1.0,11.66,1.0
1493,Chandapura,590.0,1.0,13.57,1.0
1494,Chandapura,645.0,1.0,16.45,1.0
1495,Chandapura,630.0,1.0,13.86,1.0
1499,Chandapura,520.0,1.0,14.04,1.0
1500,Chandapura,1200.0,1.0,36.0,1.0
1502,Chandapura,645.0,1.0,16.45,1.0
1504,Chandapura,645.0,1.0,16.45,1.0
1506,Chandapura,700.0,1.0,19.0,1.0
1511,Chandapura,645.0,1.0,16.45,1.0
1513,Chandapura,645.0,1.0,16.45,1.0
1518,Chandapura,645.0,1.0,16.45,1.0
1522,Chandapura,645.0,1.0,16.45,1.0
1525,Chandapura,674.0,1.0,19.9,1.0
1531,Chandapura,750.0,1.0,18.5,1.0
1539,Chandapura,800.0,1.0,30.0,1.0
1543,Chandapura,520.0,1.0,14.04,1.0
1547,Chandapura,410.0,1.0,10.0,1.0
1549,Chandapura,645.0,1.0,16.45,1.0
1550,Chandapura,645.0,1.0,16.45,1.0
1552,Chandapura,740.0,1.0,22.0,1.0
1555,Chandapura,520.0,1.0,14.04,1.0
1559,Channasandra,1470.0,2.0,90.0,2.0
1564,Channasandra,1200.0,3.0,67.77,3.0
1584,Channasandra,1200.0,3.0,67.77,3.0
1605,Chikkabanavar,600.0,1.0,25.0,1.0
1615,Chikkalasandra,875.0,2.0,52.8,2.0
1617,Chikkalasandra,1800.0,1.0,128.0,1.0
1620,Chikkalasandra,1428.0,2.0,80.0,2.0
1637,Chikkalasandra,1290.0,2.0,72.0,2.0
1639,Chikkalasandra,1425.0,1.0,54.0,1.0
1650,Choodasandra,1580.0,3.0,105.0,3.0
1654,Choodasandra,1180.0,2.0,71.22,2.0
1662,Cooke Town,3950.0,4.0,450.0,4.0
1663,Cooke Town,2388.0,4.0,239.0,4.0
1664,Cooke Town,1710.0,2.0,200.0,2.0
1665,Cooke Town,1310.0,2.0,111.0,2.0
1666,Cooke Town,3900.0,5.0,415.0,5.0
1667,Cooke Town,2560.0,4.0,310.0,4.0
1668,Cooke Town,2600.0,3.0,375.0,3.0
1669,Cooke Town,1100.0,2.0,90.0,2.0
1670,Cooke Town,2300.0,3.0,250.0,3.0
1671,Cox Town,1975.0,3.0,150.0,3.0
1672,Cox Town,1650.0,3.0,100.0,3.0
1673,Cox Town,1730.0,3.0,140.0,3.0
1674,Cox Town,1600.0,3.0,150.0,3.0
1675,Cox Town,1250.0,2.0,95.0,2.0
1676,Cox Town,1280.0,2.0,120.0,2.0
1677,Cox Town,1073.0,2.0,72.0,2.0
1678,Cox Town,1000.0,2.0,58.0,2.0
1679,Cox Town,1200.0,2.0,140.0,2.0
1680,Cunningham Road,5270.0,4.0,1250.0,4.0
1681,Cunningham Road,3875.0,3.0,864.0,3.0
1682,Cunningham Road,3875.0,3.0,800.0,3.0
1683,Cunningham Road,3815.0,3.0,763.0,3.0
1684,Cunningham Road,2880.0,3.0,501.0,3.0
1685,Cunningham Road,3489.0,3.0,662.0,3.0
1686,Cunningham Road,4170.0,3.0,800.0,3.0
1687,Cunningham Road,5108.0,5.0,995.0,5.0
1688,Cunningham Road,2700.0,3.0,501.0,3.0
1689,Cunningham Road,7500.0,6.0,1800.0,6.0
1690,Cunningham Road,2880.0,3.0,560.0,3.0
1692,Dasanapura,708.0,1.0,40.0,1.0
1696,Dasanapura,1163.0,2.0,65.0,2.0
1699,Dasanapura,708.0,1.0,41.0,1.0
1703,Dasarahalli,1150.0,2.0,70.0,2.0
1704,Dasarahalli,2100.0,3.0,120.0,3.0
1707,Dasarahalli,1333.0,2.0,78.56,2.0
1712,Devanahalli,1408.0,2.0,85.0,2.0
1719,Devanahalli,658.0,1.0,34.0,1.0
1720,Devanahalli,658.0,1.0,26.91,1.0
1724,Devanahalli,775.0,1.0,39.0,1.0
1727,Devanahalli,1550.0,3.0,85.0,3.0
1732,Devanahalli,658.0,1.0,26.91,1.0
1734,Devanahalli,1010.0,2.0,58.0,2.0
1739,Devarachikkanahalli,1200.0,2.0,83.0,2.0
1741,Devarachikkanahalli,615.0,1.0,24.0,1.0
1755,Dodda Nekkundi,1804.0,3.0,121.0,3.0
1757,Dodda Nekkundi,1999.0,3.0,132.0,3.0
1759,Dodda Nekkundi,1999.0,3.0,135.0,3.0
1761,Dodda Nekkundi,1252.0,2.0,71.0,2.0
1767,Dodda Nekkundi,1829.0,3.0,125.0,3.0
1774,Dodda Nekkundi,1200.0,2.0,71.0,2.0
1779,Doddaballapur,4200.0,4.0,325.0,4.0
1780,Doddaballapur,3876.0,3.0,300.0,3.0
1781,Doddaballapur,2776.0,4.0,195.0,4.0
1782,Doddaballapur,2440.0,3.0,142.0,3.0
1783,Doddaballapur,2400.0,3.0,200.0,3.0
1784,Doddaballapur,654.0,1.0,49.0,1.0
1785,Doddaballapur,3206.0,5.0,270.0,5.0
1802,Doddathoguru,550.0,1.0,17.0,1.0
1806,Doddathoguru,750.0,1.0,25.5,1.0
1819,Doddathoguru,550.0,1.0,17.0,1.0
1820,Domlur,1540.0,3.0,90.0,3.0
1821,Domlur,1875.0,2.0,150.0,2.0
1822,Domlur,1429.0,3.0,86.0,3.0
1823,Domlur,640.0,1.0,55.0,1.0
1824,Domlur,1050.0,2.0,85.0,2.0
1825,Domlur,1800.0,3.0,150.0,3.0
1826,Domlur,1720.0,3.0,135.0,3.0
1827,Domlur,1950.0,3.0,165.0,3.0
1828,Domlur,2180.0,3.0,285.0,3.0
1829,Domlur,650.0,1.0,70.0,1.0
1830,Domlur,780.0,1.0,70.0,1.0
1831,Domlur,2180.0,3.0,285.0,3.0
1832,Domlur,1740.0,3.0,120.0,3.0
1833,Domlur,1695.0,3.0,125.0,3.0
1834,Domlur,1246.0,2.0,95.0,2.0
1835,Domlur,2100.0,3.0,145.0,3.0
1836,Domlur,1276.0,2.0,80.0,2.0
1837,Domlur,1850.0,3.0,180.0,3.0
1838,Domlur,2955.0,3.0,235.0,3.0
1839,Domlur,1650.0,3.0,180.0,3.0
1850,Dommasandra,674.0,1.0,19.9,1.0
1852,EPIP Zone,1285.0,2.0,82.0,2.0
1853,EPIP Zone,2330.0,3.0,162.0,3.0
1854,EPIP Zone,1330.0,2.0,92.5,2.0
1855,EPIP Zone,1330.0,2.0,86.98,2.0
1856,EPIP Zone,1330.0,2.0,93.36,2.0
1857,EPIP Zone,1500.0,3.0,102.0,3.0
1859,EPIP Zone,1125.0,2.0,65.0,2.0
1860,EPIP Zone,1734.0,3.0,125.0,3.0
1862,EPIP Zone,1343.0,2.0,86.0,2.0
1863,EPIP Zone,2350.0,4.0,163.0,4.0
1864,EPIP Zone,1860.0,3.0,130.0,3.0
1865,EPIP Zone,2210.0,3.0,165.0,3.0
1866,EPIP Zone,2710.0,3.0,177.0,3.0
1868,Electronic City,660.0,1.0,23.1,1.0
1873,Electronic City,1060.0,2.0,60.0,2.0
1874,Electronic City,1152.0,2.0,64.5,2.0
1876,Electronic City,770.0,1.0,36.0,1.0
1879,Electronic City,589.0,1.0,27.0,1.0
1882,Electronic City,1108.0,2.0,63.0,2.0
1883,Electronic City,1128.0,2.0,65.0,2.0
1885,Electronic City,630.0,1.0,34.65,1.0
1886,Electronic City,1128.0,2.0,63.0,2.0
1887,Electronic City,1599.0,3.0,99.0,3.0
1893,Electronic City,1128.0,2.0,68.75,2.0
1898,Electronic City,1691.0,2.0,102.0,2.0
1899,Electronic City,1128.0,2.0,65.49,2.0
1901,Electronic City,550.0,1.0,16.0,1.0
1906,Electronic City,1128.0,2.0,65.65,2.0
1911,Electronic City,1360.0,2.0,75.0,2.0
1912,Electronic City,770.0,1.0,40.0,1.0
1913,Electronic City,1128.0,2.0,64.0,2.0
1915,Electronic City,550.0,1.0,15.0,1.0
1917,Electronic City,1571.0,3.0,89.0,3.0
1923,Electronic City,1128.0,2.0,65.35,2.0
1924,Electronic City,1128.0,2.0,65.0,2.0
1925,Electronic City,755.0,1.0,34.0,1.0
1929,Electronic City,1563.0,3.0,91.84,3.0
1939,Electronic City,1128.0,2.0,68.0,2.0
1940,Electronic City,700.0,1.0,35.0,1.0
1943,Electronic City,1571.0,3.0,105.0,3.0
1947,Electronic City,1600.0,3.0,104.0,3.0
1948,Electronic City,550.0,1.0,15.0,1.0
1950,Electronic City,1500.0,2.0,100.0,2.0
1954,Electronic City,1152.0,2.0,65.0,2.0
1955,Electronic City,1070.0,2.0,60.0,2.0
1956,Electronic City,1128.0,2.0,65.5,2.0
1958,Electronic City,1152.0,2.0,65.75,2.0
1964,Electronic City,660.0,1.0,18.0,1.0
1965,Electronic City,660.0,1.0,15.0,1.0
1969,Electronic City,1575.0,3.0,90.0,3.0
1970,Electronic City,435.0,1.0,19.5,1.0
1971,Electronic City,1449.0,3.0,100.0,3.0
1975,Electronic City,1575.0,3.0,101.0,3.0
1976,Electronic City,660.0,1.0,16.0,1.0
1977,Electronic City,550.0,1.0,12.0,1.0
1980,Electronic City,1363.0,2.0,79.0,2.0
1983,Electronic City,1108.0,2.0,67.15,2.0
1985,Electronic City,1128.0,2.0,65.7,2.0
1989,Electronic City,1650.0,3.0,100.0,3.0
1993,Electronic City,1449.0,3.0,90.0,3.0
2001,Electronic City,660.0,1.0,15.5,1.0
2005,Electronic City,1073.0,2.0,60.0,2.0
2009,Electronic City,1140.0,2.0,70.93,2.0
2017,Electronic City,940.0,2.0,54.0,2.0
2018,Electronic City,435.0,1.0,21.0,1.0
2024,Electronic City,435.0,1.0,22.0,1.0
2027,Electronic City,770.0,1.0,39.9,1.0
2029,Electronic City,550.0,1.0,15.0,1.0
2030,Electronic City,1128.0,2.0,64.0,2.0
2031,Electronic City,605.0,1.0,13.31,1.0
2033,Electronic City,530.0,1.0,13.5,1.0
2035,Electronic City,1025.0,1.0,26.63,1.0
2040,Electronic City,1652.0,3.0,110.0,3.0
2044,Electronic City,1128.0,2.0,65.58,2.0
2045,Electronic City,635.0,1.0,28.0,1.0
2046,Electronic City,1128.0,2.0,65.4,2.0
2053,Electronic City,770.0,1.0,35.0,1.0
2058,Electronic City,1108.0,2.0,63.0,2.0
2059,Electronic City,630.0,1.0,40.5,1.0
2062,Electronic City,605.0,1.0,22.0,1.0
2067,Electronic City,635.0,1.0,28.0,1.0
2068,Electronic City,1128.0,2.0,65.45,2.0
2077,Electronic City,630.0,1.0,33.7,1.0
2080,Electronic City,660.0,1.0,16.5,1.0
2081,Electronic City,1400.0,3.0,90.0,3.0
2083,Electronic City,1258.0,2.0,85.5,2.0
2084,Electronic City,1386.0,2.0,85.0,2.0
2085,Electronic City,550.0,1.0,27.0,1.0
2090,Electronic City,1275.0,3.0,70.0,3.0
2091,Electronic City,770.0,1.0,38.0,1.0
2095,Electronic City,660.0,1.0,23.0,1.0
2096,Electronic City,1644.0,3.0,92.59,3.0
2100,Electronic City,418.0,1.0,12.0,1.0
2101,Electronic City,1128.0,2.0,64.8,2.0
2105,Electronic City,710.0,1.0,40.42,1.0
2115,Electronic City,1353.0,2.0,75.0,2.0
2116,Electronic City,660.0,1.0,18.0,1.0
2117,Electronic City,1128.0,2.0,67.0,2.0
2121,Electronic City,750.0,1.0,35.0,1.0
2123,Electronic City,1070.0,2.0,60.0,2.0
2128,Electronic City,550.0,1.0,16.0,1.0
2129,Electronic City,1615.0,3.0,97.0,3.0
2131,Electronic City,1221.0,2.0,68.0,2.0
2135,Electronic City,1342.0,2.0,90.0,2.0
2137,Electronic City,1128.0,2.0,63.5,2.0
2138,Electronic City,589.0,1.0,29.0,1.0
2141,Electronic City,1575.0,3.0,94.5,3.0
2155,Electronic City Phase II,630.0,1.0,28.35,1.0
2170,Electronic City Phase II,545.0,1.0,27.0,1.0
2179,Electronic City Phase II,1790.0,3.0,100.0,3.0
2228,Electronic City Phase II,545.0,1.0,29.0,1.0
2245,Electronic City Phase II,650.0,1.0,35.0,1.0
2265,Electronic City Phase II,575.0,1.0,16.75,1.0
2273,Electronic City Phase II,545.0,1.0,28.0,1.0
2280,Electronics City Phase 1,1490.0,3.0,84.0,3.0
2287,Electronics City Phase 1,1015.0,2.0,56.0,2.0
2292,Electronics City Phase 1,1340.0,2.0,75.0,2.0
2293,Electronics City Phase 1,650.0,1.0,23.0,1.0
2296,Electronics City Phase 1,755.0,1.0,42.41,1.0
2297,Electronics City Phase 1,580.0,1.0,27.0,1.0
2305,Electronics City Phase 1,635.0,1.0,26.0,1.0
2306,Electronics City Phase 1,1190.0,2.0,68.0,2.0
2309,Electronics City Phase 1,360.0,1.0,16.9,1.0
2310,Electronics City Phase 1,638.0,1.0,32.0,1.0
2311,Electronics City Phase 1,1175.0,2.0,64.98,2.0
2312,Electronics City Phase 1,585.0,1.0,21.0,1.0
2315,Electronics City Phase 1,1125.0,2.0,65.0,2.0
2325,Electronics City Phase 1,1450.0,3.0,79.0,3.0
2334,Electronics City Phase 1,755.0,1.0,30.12,1.0
2336,Frazer Town,1700.0,3.0,180.0,3.0
2337,Frazer Town,1305.0,3.0,95.45,3.0
2338,Frazer Town,1870.0,3.0,185.0,3.0
2339,Frazer Town,1750.0,3.0,150.0,3.0
2340,Frazer Town,4850.0,6.0,385.0,6.0
2341,Frazer Town,2000.0,3.0,200.0,3.0
2342,Frazer Town,3500.0,4.0,330.0,4.0
2343,Frazer Town,2350.0,4.0,285.0,4.0
2344,Frazer Town,1550.0,2.0,140.0,2.0
2345,Frazer Town,1900.0,4.0,145.0,4.0
2346,Frazer Town,2560.0,3.0,265.0,3.0
2347,Frazer Town,2400.0,3.0,260.0,3.0
2348,Frazer Town,2560.0,3.0,288.0,3.0
2349,Frazer Town,3436.0,5.0,341.0,5.0
2350,Frazer Town,4856.0,5.0,410.0,5.0
2351,Frazer Town,1315.0,2.0,140.0,2.0
2352,Frazer Town,1706.0,3.0,154.0,3.0
2353,Frazer Town,2079.0,3.0,220.0,3.0
2354,Frazer Town,3435.0,2.0,341.0,2.0
2355,Frazer Town,3436.0,5.0,345.0,5.0
2356,Frazer Town,3100.0,3.0,400.0,3.0
2357,Frazer Town,5400.0,3.0,400.0,3.0
2358,Frazer Town,1180.0,2.0,105.0,2.0
2359,Frazer Town,2900.0,4.0,325.0,4.0
2360,Frazer Town,1870.0,3.0,180.0,3.0
2361,Frazer Town,896.0,1.0,100.0,1.0
2362,Frazer Town,1420.0,2.0,120.0,2.0
2386,Giri Nagar,2400.0,4.0,400.0,4.0
2387,Giri Nagar,1800.0,3.0,252.0,3.0
2388,Giri Nagar,1350.0,3.0,240.0,3.0
2389,Giri Nagar,2400.0,4.0,400.0,4.0
2390,Giri Nagar,3000.0,4.0,375.0,4.0
2391,Giri Nagar,2400.0,6.0,400.0,6.0
2392,Giri Nagar,4000.0,3.0,750.0,3.0
2393,Giri Nagar,1200.0,3.0,175.0,3.0
2412,Gottigere,812.0,1.0,26.0,1.0
2417,Gottigere,812.0,1.0,26.0,1.0
2441,Green Glen Layout,1670.0,3.0,120.0,3.0
2442,Green Glen Layout,3250.0,4.0,230.0,4.0
2443,Green Glen Layout,1776.42,3.0,105.0,3.0
2444,Green Glen Layout,3250.0,4.0,230.0,4.0
2445,Green Glen Layout,940.0,2.0,56.8,2.0
2446,Green Glen Layout,1075.0,2.0,60.0,2.0
2447,Green Glen Layout,1715.0,3.0,115.0,3.0
2448,Green Glen Layout,1751.0,2.0,115.0,2.0
2449,Green Glen Layout,1750.0,3.0,130.0,3.0
2450,Green Glen Layout,1530.0,3.0,105.0,3.0
2451,Green Glen Layout,1752.0,3.0,105.0,3.0
2453,Green Glen Layout,1728.0,3.0,125.0,3.0
2454,Green Glen Layout,1645.0,3.0,110.0,3.0
2455,Green Glen Layout,1517.0,3.0,100.0,3.0
2456,Green Glen Layout,3150.0,4.0,218.0,4.0
2458,Green Glen Layout,1750.0,3.0,120.0,3.0
2459,Green Glen Layout,1751.0,3.0,115.0,3.0
2460,Green Glen Layout,1750.0,3.0,105.0,3.0
2461,Green Glen Layout,1885.0,3.0,135.0,3.0
2462,Green Glen Layout,1715.0,3.0,120.0,3.0
2463,Green Glen Layout,1623.29,2.0,105.0,2.0
2464,Green Glen Layout,1715.0,3.0,115.0,3.0
2465,Green Glen Layout,1715.0,3.0,105.0,3.0
2466,Green Glen Layout,1600.0,3.0,105.0,3.0
2467,Green Glen Layout,1717.0,3.0,125.0,3.0
2468,Green Glen Layout,1250.0,2.0,75.0,2.0
2469,Green Glen Layout,1715.0,3.0,112.0,3.0
2470,Gubbalala,1470.0,2.0,82.0,2.0
2471,Gubbalala,1745.0,3.0,104.0,3.0
2472,Gubbalala,1745.0,3.0,115.0,3.0
2473,Gubbalala,1745.0,3.0,110.0,3.0
2476,Gubbalala,1205.0,2.0,70.0,2.0
2477,Gubbalala,1435.0,2.0,80.0,2.0
2482,Gubbalala,2000.0,3.0,125.0,3.0
2502,Gunjur,1588.0,2.0,90.0,2.0
2505,HAL 2nd Stage,1490.0,2.0,300.0,2.0
2506,HAL 2nd Stage,2100.0,3.0,252.0,3.0
2507,HAL 2nd Stage,2700.0,3.0,500.0,3.0
2508,HAL 2nd Stage,2040.0,4.0,500.0,4.0
2509,HBR Layout,2800.0,2.0,200.0,2.0
2510,HBR Layout,1722.0,3.0,95.0,3.0
2511,HBR Layout,1200.0,4.0,120.0,4.0
2514,HBR Layout,1783.0,3.0,125.0,3.0
2515,HBR Layout,1656.0,3.0,90.0,3.0
2516,HBR Layout,1089.0,2.0,60.0,2.0
2517,HBR Layout,1700.0,3.0,110.0,3.0
2519,HBR Layout,1200.0,4.0,115.0,4.0
2520,HBR Layout,1200.0,2.0,120.0,2.0
2521,HBR Layout,1832.0,3.0,160.0,3.0
2522,HRBR Layout,1374.0,2.0,95.0,2.0
2523,HRBR Layout,1440.0,2.0,98.0,2.0
2524,HRBR Layout,1567.0,3.0,90.0,3.0
2525,HRBR Layout,2800.0,3.0,250.0,3.0
2526,HRBR Layout,1210.0,2.0,75.0,2.0
2527,HRBR Layout,1265.0,2.0,78.0,2.0
2528,HRBR Layout,1170.0,2.0,75.0,2.0
2529,HRBR Layout,1335.0,2.0,87.0,2.0
2531,HRBR Layout,1625.0,3.0,120.0,3.0
2532,HRBR Layout,1301.0,2.0,120.0,2.0
2533,HRBR Layout,1145.0,2.0,68.5,2.0
2534,HRBR Layout,1300.0,2.0,90.0,2.0
2542,HSR Layout,1750.0,3.0,95.0,3.0
2545,HSR Layout,1650.0,3.0,110.0,3.0
2550,HSR Layout,1127.0,2.0,68.0,2.0
2551,HSR Layout,1600.0,2.0,115.0,2.0
2553,HSR Layout,1009.0,2.0,56.0,2.0
2554,HSR Layout,1300.0,2.0,98.0,2.0
2557,HSR Layout,1126.0,2.0,69.0,2.0
2561,HSR Layout,1142.0,2.0,65.0,2.0
2564,HSR Layout,1203.0,2.0,72.0,2.0
2569,HSR Layout,1009.0,2.0,56.0,2.0
2573,HSR Layout,1120.0,2.0,70.0,2.0
2579,Haralur Road,1240.0,2.0,70.0,2.0
2582,Haralur Road,2650.0,4.0,198.0,4.0
2586,Haralur Road,1056.0,2.0,61.0,2.0
2588,Haralur Road,1810.0,3.0,100.0,3.0
2591,Haralur Road,1225.0,2.0,67.38,2.0
2594,Haralur Road,1920.0,3.0,115.0,3.0
2595,Haralur Road,1875.0,3.0,110.0,3.0
2600,Haralur Road,2017.0,3.0,125.0,3.0
2602,Haralur Road,1875.0,3.0,110.0,3.0
2605,Haralur Road,1300.0,2.0,73.0,2.0
2608,Haralur Road,1850.0,3.0,110.0,3.0
2609,Haralur Road,1225.0,2.0,67.38,2.0
2613,Haralur Road,1230.0,2.0,78.0,2.0
2615,Haralur Road,1300.0,2.0,79.0,2.0
2616,Haralur Road,1444.0,2.0,80.0,2.0
2617,Haralur Road,1088.0,2.0,68.0,2.0
2620,Haralur Road,1225.0,2.0,70.0,2.0
2623,Haralur Road,1830.0,3.0,101.0,3.0
2624,Haralur Road,1810.0,3.0,126.0,3.0
2626,Haralur Road,1520.0,2.0,96.0,2.0
2627,Haralur Road,1300.0,2.0,75.0,2.0
2628,Haralur Road,2017.0,2.0,125.0,2.0
2637,Haralur Road,1520.0,2.0,90.0,2.0
